CVE ID,Link to CVE,CVSS Score,Confidentiality Impact,Integrity Impact,Availability Impact,Authentication,Gained Access,Vulnerability Type(s)
CVE-2017-1000139,https://www.cvedetails.com/cve/CVE-2017-1000139/,6.0,Partial,Partial,Partial,???,None,-
CVE-2017-1000136,https://www.cvedetails.com/cve/CVE-2017-1000136/,4.3,None,Partial,None,Not required,None,-
CVE-2017-1000135,https://www.cvedetails.com/cve/CVE-2017-1000135/,4.0,None,Partial,None,???,None,-
CVE-2017-1000134,https://www.cvedetails.com/cve/CVE-2017-1000134/,6.5,Partial,Partial,Partial,???,None,-
CVE-2017-1000133,https://www.cvedetails.com/cve/CVE-2017-1000133/,5.0,Partial,None,None,Not required,None,Obtain Information
CVE-2017-1000131,https://www.cvedetails.com/cve/CVE-2017-1000131/,4.0,None,Partial,None,???,None,-
CVE-2017-1000129,https://www.cvedetails.com/cve/CVE-2017-1000129/,5.0,Partial,None,None,Not required,None,Sql Injection
CVE-2017-1000128,https://www.cvedetails.com/cve/CVE-2017-1000128/,4.3,None,None,Partial,Not required,None,-
CVE-2017-1000127,https://www.cvedetails.com/cve/CVE-2017-1000127/,4.3,None,None,Partial,Not required,None,Overflow
CVE-2017-1000126,https://www.cvedetails.com/cve/CVE-2017-1000126/,4.3,None,None,Partial,Not required,None,-
CVE-2017-1000125,https://www.cvedetails.com/cve/CVE-2017-1000125/,5.0,None,Partial,None,Not required,None,-
CVE-2017-1000122,https://www.cvedetails.com/cve/CVE-2017-1000122/,5.0,None,None,Partial,Not required,None,Denial Of Service
CVE-2017-1000121,https://www.cvedetails.com/cve/CVE-2017-1000121/,7.5,Partial,Partial,Partial,Not required,None,Overflow
CVE-2017-1000120,https://www.cvedetails.com/cve/CVE-2017-1000120/,6.5,Partial,Partial,Partial,???,None,Execute Code
CVE-2017-1000120,https://www.cvedetails.com/cve/CVE-2017-1000120/,6.5,Partial,Partial,Partial,???,None,Sql Injection
CVE-2017-1000119,https://www.cvedetails.com/cve/CVE-2017-1000119/,6.5,Partial,Partial,Partial,???,None,Execute Code
CVE-2017-1000118,https://www.cvedetails.com/cve/CVE-2017-1000118/,5.0,None,None,Partial,Not required,None,Denial Of Service
CVE-2017-1000118,https://www.cvedetails.com/cve/CVE-2017-1000118/,5.0,None,None,Partial,Not required,None,Overflow
